 SPU,layer,hbot,soilhz,add
              1050_G, 328, -16.40,staro17_85p_M01KV03 
              1050_G, 329, -16.45,staro17_85p_M01KV03 
              1050_G, 330, -16.50,staro17_85p_M01KV03 
              1050_G, 331, -16.55,staro17_85p_M01KV03 
              1050_G, 332, -16.60,staro17_85p_M01KV03 
              1050_G, 333, -16.65,staro17_85p_M01KV03 
              1050_G, 334, -16.70,staro17_85p_M01KV03 
              1050_G, 335, -16.75,staro17_85p_M01KV03 
              1050_G, 336, -16.80,staro17_85p_M01KV03 
              1050_G, 337, -16.85,staro17_85p_M01KV03 
              1050_G, 338, -16.90,staro17_85p_M01KV03 
              1050_G, 339, -16.95,staro17_85p_M01KV03 
              1050_G, 340, -17.00,staro17_85p_M01KV03 
              1050_G, 341, -17.05,staro17_85p_M01KV03 
              1050_G, 342, -17.10,staro17_85p_M01KV03 
              1050_G, 343, -17.15,staro17_85p_M01KV03 
              1050_G, 344, -17.20,staro17_85p_M01KV03 
              1050_G, 345, -17.25,staro17_85p_M01KV03 
              1050_G, 346, -17.30,staro17_85p_M01KV03 
              1050_G, 347, -17.35,staro17_85p_M01KV03 
              1050_G, 348, -17.40,staro17_85p_M01KV03 
              1050_G, 349, -17.45,staro17_85p_M01KV03 
              1050_G, 350, -17.50,staro17_85p_M01KV03 
              1050_G, 351, -17.55,staro17_85p_M01KV03 
              1050_G, 352, -17.60,staro17_85p_M01KV03 
              1050_G, 353, -17.65,staro17_85p_M01KV03 
              1050_G, 354, -17.70,staro17_85p_M01KV03 
              1050_G, 355, -17.75,staro17_85p_M01KV03 
              1050_G, 356, -17.80,staro17_85p_M01KV03 
              1050_G, 357, -17.85,staro17_85p_M01KV03 
              1050_G, 358, -17.90,staro17_85p_M01KV03 
              1050_G, 359, -17.95,staro17_85p_M01KV03 
              1050_G, 360, -18.00,staro17_85p_M01KV03 
              1050_G, 361, -18.05,staro17_85p_M01KV03 
              1050_G, 362, -18.10,staro17_85p_M01KV03 
              1050_G, 363, -18.15,staro17_85p_M01KV03 
              1050_G, 364, -18.20,staro17_85p_M01KV03 
              1050_G, 365, -18.25,staro17_85p_M01KV03 
              1050_G, 366, -18.30,staro17_85p_M01KV03 
              1050_G, 367, -18.35,staro17_85p_M01KV03 
              1050_G, 368, -18.40,staro17_85p_M01KV03 
              1050_G, 369, -18.45,staro17_85p_M01KV03 
              1050_G, 370, -18.50,staro17_85p_M01KV03 
              1050_G, 371, -18.55,staro17_85p_M01KV03 
              1050_G, 372, -18.60,staro17_85p_M01KV03 
              1050_G, 373, -18.65,staro17_85p_M01KV03 
              1050_G, 374, -18.70,staro17_85p_M01KV03 
              1050_G, 375, -18.75,staro17_85p_M01KV03 
              1050_G, 376, -18.80,staro17_85p_M01KV03 
              1050_G, 377, -18.85,staro17_85p_M01KV03 
              1050_G, 378, -18.90,staro17_85p_M01KV03 
              1050_G, 379, -18.95,staro17_85p_M01KV03 
              1050_G, 380, -19.00,staro17_85p_M01KV03 
              1050_G, 381, -19.05,staro17_85p_M01KV03 
              1050_G, 382, -19.10,staro17_85p_M01KV03 
              1050_G, 383, -19.15,staro17_85p_M01KV03 
              1050_G, 384, -19.20,staro17_85p_M01KV03 
              1050_G, 385, -19.25,staro17_85p_M01KV03 
              1050_G, 386, -19.30,staro17_85p_M01KV03 
              1050_G, 387, -19.35,staro17_85p_M01KV03 
              1050_G, 388, -19.40,staro17_85p_M01KV03 
              1050_G, 389, -19.45,staro17_85p_M01KV03 
              1050_G, 390, -19.50,staro17_85p_M01KV03 
              1050_G, 391, -19.55,staro17_85p_M01KV03 
              1050_G, 392, -19.60,staro17_85p_M01KV03 
              1050_G, 393, -19.65,staro17_85p_M01KV03 
              1050_G, 394, -19.70,staro17_85p_M01KV03 
              1050_G, 395, -19.75,staro17_85p_M01KV03 
              1050_G, 396, -19.80,staro17_85p_M01KV03 
              1050_G, 397, -19.85,staro17_85p_M01KV03 
              1050_G, 398, -19.90,staro17_85p_M01KV03 
              1050_G, 399, -19.95,staro17_85p_M01KV03 
              1050_G, 400, -20.00,staro17_85p_M01KV03 
              1050_G, 401, -20.05,staro17_85p_M01KV03 
              1050_G, 402, -20.10,staro17_85p_M01KV03 
              1050_G, 403, -20.15,staro17_85p_M01KV03 
              1050_G, 404, -20.20,staro17_85p_M01KV03 
              1050_G, 405, -20.25,staro17_85p_M01KV03 
              1050_G, 406, -20.30,staro17_85p_M01KV03 
              1050_G, 407, -20.35,staro17_85p_M01KV03 
              1050_G, 408, -20.40,staro17_85p_M01KV03 
              1050_G, 409, -20.45,staro17_85p_M01KV03 
              1050_G, 410, -20.50,staro17_85p_M01KV03 
              1050_G, 411, -20.55,staro17_85p_M01KV03 
              1050_G, 412, -20.60,staro17_85p_M01KV03 
              1050_G, 413, -20.65,staro17_85p_M01KV03 
              1050_G, 414, -20.70,staro17_85p_M01KV03 
              1050_G, 415, -20.75,staro17_85p_M01KV03 
              1050_G, 416, -20.80,staro17_85p_M01KV03 
              1050_G, 417, -20.85,staro17_85p_M01KV03 
              1050_G, 418, -20.90,staro17_85p_M01KV03 
              1050_G, 419, -20.95,staro17_85p_M01KV03 
              1050_G, 420, -21.00,staro17_85p_M01KV03 
              1050_G, 421, -21.05,staro17_85p_M01KV03 
              1050_G, 422, -21.10,staro17_85p_M01KV03 
              1050_G, 423, -21.15,staro17_85p_M01KV03 
              1050_G, 424, -21.20,staro17_85p_M01KV03 
              1050_G, 425, -21.25,staro17_85p_M01KV03 
              1050_G, 426, -21.30,staro17_85p_M01KV03 
              1050_G, 427, -21.35,staro17_85p_M01KV03 
              1050_G, 428, -21.40,staro17_85p_M01KV03 
              1050_G, 429, -21.45,staro17_85p_M01KV03 
              1050_G, 430, -21.50,staro17_85p_M01KV03 
              1050_G, 431, -21.55,staro17_85p_M01KV03 
              1050_G, 432, -21.60,staro17_85p_M01KV03 
              1050_G, 433, -21.65,staro17_85p_M01KV03 
              1050_G, 434, -21.70,staro17_85p_M01KV03 
              1050_G, 435, -21.75,staro17_85p_M01KV03 
              1050_G, 436, -21.80,staro17_85p_M01KV03 
              1050_G, 437, -21.85,staro17_85p_M01KV03 
              1050_G, 438, -21.90,staro17_85p_M01KV03 
              1050_G, 439, -21.95,staro17_85p_M01KV03 
              1050_G, 440, -22.00,staro17_85p_M01KV03 
              1050_G, 441, -22.05,staro17_85p_M01KV03 
              1050_G, 442, -22.10,staro17_85p_M01KV03 
              1050_G, 443, -22.15,staro17_85p_M01KV03 
              1050_G, 444, -22.20,staro17_85p_M01KV03 
              1050_G, 445, -22.25,staro17_85p_M01KV03 
              1050_G, 446, -22.30,staro17_85p_M01KV03 
              1050_G, 447, -22.35,staro17_85p_M01KV03 
              1050_G, 448, -22.40,staro17_85p_M01KV03 
              1050_G, 449, -22.45,staro17_85p_M01KV03 
              1050_G, 450, -22.50,staro17_85p_M01KV03 
              1050_G, 451, -22.55,staro17_85p_M01KV03 
              1050_G, 452, -22.60,staro17_85p_M01KV03 
              1050_G, 453, -22.65,staro17_85p_M01KV03 
              1050_G, 454, -22.70,staro17_85p_M01KV03 
              1050_G, 455, -22.75,staro17_85p_M01KV03 
              1050_G, 456, -22.80,staro17_85p_M01KV03 
              1050_G, 457, -22.85,staro17_85p_M01KV03 
              1050_G, 458, -22.90,staro17_85p_M01KV03 
              1050_G, 459, -22.95,staro17_85p_M01KV03 
              1050_G, 460, -23.00,staro17_85p_M01KV03 
              1050_G, 461, -23.05,staro17_85p_M01KV03 
              1050_G, 462, -23.10,staro17_85p_M01KV03 
              1050_G, 463, -23.15,staro17_85p_M01KV03 
              1050_G, 464, -23.20,staro17_85p_M01KV03 
              1050_G, 465, -23.25,staro17_85p_M01KV03 
              1050_G, 466, -23.30,staro17_85p_M01KV03 
              1050_G, 467, -23.35,staro17_85p_M01KV03 
              1050_G, 468, -23.40,staro17_85p_M01KV03 
              1050_G, 469, -23.45,staro17_85p_M01KV03 
              1050_G, 470, -23.50,staro17_85p_M01KV03 
              1050_G, 471, -23.55,staro17_85p_M01KV03 
              1050_G, 472, -23.60,staro17_85p_M01KV03 
              1050_G, 473, -23.65,staro17_85p_M01KV03 
              1050_G, 474, -23.70,staro17_85p_M01KV03 
              1050_G, 475, -23.75,staro17_85p_M01KV03 
              1050_G, 476, -23.80,staro17_85p_M01KV03 
              1050_G, 477, -23.85,staro17_85p_M01KV03 
              1050_G, 478, -23.90,staro17_85p_M01KV03 
              1050_G, 479, -23.95,staro17_85p_M01KV03 
              1050_G, 480, -24.00,staro17_85p_M01KV03 
              1050_G, 481, -24.05,staro17_85p_M01KV03 
              1050_G, 482, -24.10,staro17_85p_M01KV03 
              1050_G, 483, -24.15,staro17_85p_M01KV03 
              1050_G, 484, -24.20,staro17_85p_M01KV03 
              1050_G, 485, -24.25,staro17_85p_M01KV03 
              1050_G, 486, -24.30,staro17_85p_M01KV03 
              1050_G, 487, -24.35,staro17_85p_M01KV03 
              1050_G, 488, -24.40,staro17_85p_M01KV03 
              1050_G, 489, -24.45,staro17_85p_M01KV03 
              1050_G, 490, -24.50,staro17_85p_M01KV03 
              1050_G, 491, -24.55,staro17_85p_M01KV03 
