Row,Col,Cell_ID,Ag,Active_Cel,GhostNode,subgroup
46,63,6048,1,1,11,14
46,65,6050,1,1,11,14
47,37,6155,1,1,7,13
47,39,6157,1,1,7,14
47,40,6158,1,1,7,14
47,41,6159,1,1,7,14
47,43,6161,1,1,7,15
47,44,6162,1,1,7,15
47,45,6163,1,1,7,15
47,46,6164,1,1,9,13
47,47,6165,1,1,9,13
47,48,6166,1,1,9,13
47,50,6168,1,1,9,14
47,51,6169,1,1,9,14
47,52,6170,1,1,9,14
47,53,6171,1,1,9,15
47,55,6173,1,1,11,14
47,57,6175,1,1,11,15
47,59,6177,1,1,11,15
47,61,6179,1,1,11,15
47,64,6182,1,1,11,16
48,38,6289,1,1,7,16
48,39,6290,1,1,7,16
48,40,6291,1,1,7,16
48,42,6293,1,1,7,17
48,44,6295,1,1,7,17
48,47,6298,1,1,9,15
48,48,6299,1,1,9,15
48,49,6300,1,1,9,16
48,50,6301,1,1,9,16
48,52,6303,1,1,9,16
48,56,6307,1,1,11,16
48,58,6309,1,1,11,16
48,59,6310,1,1,11,17
48,61,6312,1,1,11,17
48,62,6313,1,1,11,17
48,63,6314,1,1,11,18
48,65,6316,1,1,11,18
49,41,6425,1,1,7,17
49,42,6426,1,1,7,18
49,43,6427,1,1,7,18
49,44,6428,1,1,7,18
49,45,6429,1,1,7,19
49,46,6430,1,1,9,17
49,48,6432,1,1,9,17
49,50,6434,1,1,9,17
49,51,6435,1,1,9,18
49,61,6445,1,1,11,18
49,62,6446,1,1,11,18
49,63,6447,1,1,11,19
49,64,6448,1,1,11,19
49,65,6449,1,1,11,19
50,41,6558,1,1,7,19
50,42,6559,1,1,7,19
50,46,6563,1,1,9,18
50,48,6565,1,1,9,18
50,49,6566,1,1,9,18
50,50,6567,1,1,9,19
50,51,6568,1,1,9,19
50,63,6580,1,1,11,19
50,65,6582,1,1,11,20
51,42,6692,1,1,7,19
51,43,6693,1,1,7,20
51,46,6696,1,1,9,19
51,47,6697,1,1,9,19
51,48,6698,1,1,9,20
51,49,6699,1,1,9,20
51,63,6713,1,1,11,20
51,65,6715,1,1,11,20
52,43,6826,1,1,7,20
52,44,6827,1,1,7,20
52,45,6828,1,1,7,20
52,46,6829,1,1,9,20
52,47,6830,1,1,9,20
52,64,6847,1,1,11,20
6,61,726,2,1,21,1
6,62,727,2,1,21,1
6,63,728,2,1,21,1
7,59,857,2,1,21,2
7,61,859,2,1,21,2
8,58,989,2,1,21,2
8,60,991,2,1,21,3
8,62,993,2,1,21,3
9,56,1120,2,1,21,3
9,57,1121,2,1,21,4
9,58,1122,2,1,21,4
9,59,1123,2,1,21,4
9,61,1125,2,1,21,5
10,55,1252,2,1,21,5
10,56,1253,2,1,21,5
10,57,1254,2,1,21,6
10,59,1256,2,1,21,6
10,60,1257,2,1,21,6
10,61,1258,2,1,21,7
11,54,1384,2,1,21,7
11,55,1385,2,1,21,7
11,57,1387,2,1,21,8
11,58,1388,2,1,21,8
12,53,1516,2,1,21,8
12,54,1517,2,1,21,9
12,55,1518,2,1,21,9
12,57,1520,2,1,21,9
12,59,1522,2,1,21,10
12,61,1524,2,1,21,10
13,53,1649,2,1,21,10
13,55,1651,2,1,21,11
13,56,1652,2,1,21,11
13,59,1655,2,1,21,11
14,52,1781,2,1,21,12
14,53,1782,2,1,21,12
14,54,1783,2,1,21,12
14,56,1785,2,1,21,13
14,57,1786,2,1,21,13
14,58,1787,2,1,21,13
14,60,1789,2,1,21,14
15,51,1913,2,1,19,1
15,53,1915,2,1,21,14
15,55,1917,2,1,21,14
15,57,1919,2,1,21,15
15,59,1921,2,1,21,15
15,60,1922,2,1,21,15
16,51,2046,2,1,19,1
16,54,2049,2,1,21,16
16,57,2052,2,1,21,16
16,58,2053,2,1,21,16
16,60,2055,2,1,21,17
17,50,2178,2,1,19,1
17,51,2179,2,1,19,2
17,52,2180,2,1,19,2
