total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1286,.1007925338557937E-02,1,717,1,1,-.3839715582848214E-03,1,1,.3724451302919909E-14,1,7,1.000000,0.6163732E-12
1287,.1007925338557937E-02,1,717,1,2,-.2367486256800771E-15,1,1,.2498002544114429E-16,1,7,0.6163732E-12,0.6591945E-17
1288,.1007925338557937E-02,1,717,2,1,-.7164822876676727E-25,1,6,.8526512828138037E-13,1,6,0.5765344E-10,0.5765344E-10
1289,.1058321605485834E-02,1,718,1,1,-.4031701357588129E-03,1,1,.3721849217705946E-14,1,5,1.000000,0.6164404E-12
1290,.1058321605485834E-02,1,718,1,2,-.2485977131692804E-15,1,1,-.3330669401442829E-16,1,4,0.6164404E-12,0.1595946E-16
1291,.1058321605485834E-02,1,718,2,1,.7924890951784477E-25,1,6,-.4618527782136638E-13,1,2,0.3291234E-10,0.3291234E-10
1292,.1111237685760126E-02,1,719,1,1,-.4233286423415407E-03,1,1,.3711440876850090E-14,1,2,1.000000,0.6166640E-12
1293,.1111237685760126E-02,1,719,1,2,-.2610765559118384E-15,1,1,-.3053113041063279E-16,1,9,0.6166640E-12,0.8326672E-17
1294,.1111237685760126E-02,1,719,2,1,-.1003839217543546E-24,1,10,.6394884621281646E-13,1,8,0.4372680E-10,0.4372680E-10
1295,.1166799570048132E-02,1,720,1,1,-.4444950743675739E-03,1,1,.3731390196823810E-14,1,7,1.000000,0.6168409E-12
1296,.1166799570048132E-02,1,720,1,2,-.2741689374527485E-15,1,1,.3053113379970624E-16,1,7,0.6168409E-12,0.1179612E-16
1297,.1166799570048132E-02,1,720,2,1,-.2479189815300614E-24,1,2,.7460698724304198E-13,1,3,0.7887024E-10,0.7887024E-10
1298,.1225139548550539E-02,1,721,1,1,-.4667198280461365E-03,1,1,.3713175600326066E-14,1,2,1.000000,0.6167773E-12
1299,.1225139548550539E-02,1,721,1,2,-.2878638904703257E-15,1,1,-.1526556683644606E-16,1,4,0.6167773E-12,0.5984796E-17
1300,.1225139548550539E-02,1,721,2,1,-.3878135758603101E-25,1,8,.6394884621421960E-13,1,8,0.3275602E-10,0.3275602E-10
1301,.1286396525978066E-02,1,722,1,1,-.4900558194313411E-03,1,1,.3721849217705942E-14,1,7,1.000000,0.6173622E-12
1302,.1286396525978066E-02,1,722,1,2,-.3023987702058366E-15,1,1,-.3608224815518643E-16,1,8,0.6173622E-12,0.1249001E-16
1303,.1286396525978066E-02,1,722,2,1,.2021740631935363E-24,1,2,-.8526512827525164E-13,1,6,0.9359269E-10,0.9359269E-10
1304,.1350716352276969E-02,1,723,1,1,-.5145586103940827E-03,1,1,.3720981855967957E-14,1,10,1.000000,0.6166035E-12
1305,.1350716352276969E-02,1,723,1,2,-.3173253083826810E-15,1,1,.2081668179279844E-16,1,10,0.6166035E-12,0.5637851E-17
1306,.1350716352276969E-02,1,723,2,1,.1932168779972111E-24,1,9,-.7815970092145312E-13,1,9,0.7777601E-10,0.7777601E-10
1307,.1418252169890818E-02,1,724,1,1,-.5402865409134544E-03,1,1,.3725318664657898E-14,1,5,1.000000,0.6162027E-12
1308,.1418252169890818E-02,1,724,1,2,-.3330822282303965E-15,1,1,-.2914335439168145E-16,1,4,0.6162027E-12,0.9454243E-17
1309,.1418252169890818E-02,1,724,2,1,.5466374896692245E-25,1,2,-.4263256414334257E-13,1,2,0.2654588E-10,0.2654588E-10
1310,.1489164778385359E-02,1,725,1,1,-.5673008679560197E-03,1,6,.3721849217705944E-14,1,6,1.000000,0.6168908E-12
1311,.1489164778385359E-02,1,725,1,2,-.3499331616672372E-15,1,6,.2081668169993768E-16,1,6,0.6168908E-12,0.3903128E-17
1312,.1489164778385359E-02,1,725,2,1,.1619378601701920E-24,1,5,-.7815970092434765E-13,1,9,0.5925926E-10,0.5925926E-10
1313,.1563623017304627E-02,1,726,1,1,-.5956659113557554E-03,1,2,.3728788111609848E-14,1,7,1.000000,0.6164425E-12
1314,.1563623017304627E-02,1,726,1,2,-.3672920443319902E-15,1,2,-.4024558464988126E-16,1,3,0.6164425E-12,0.1812786E-16
1315,.1563623017304627E-02,1,726,2,1,.2933175414418808E-25,1,1,.5329070517850421E-13,1,4,0.3286971E-10,0.3286971E-10
1316,.1641804168169858E-02,1,727,1,1,-.6254492069227421E-03,1,1,.3737461728989725E-14,1,6,1.000000,0.6170238E-12
1317,.1641804168169858E-02,1,727,1,2,-.3858374767855546E-15,1,1,.3608224830442629E-16,1,10,0.6170238E-12,0.2116363E-16
1318,.1641804168169858E-02,1,727,2,1,-.5842587084598901E-25,1,7,.4263256414289061E-13,1,8,0.3184653E-10,0.3184653E-10
1319,.1723894376578351E-02,1,728,1,1,-.6567216672713416E-03,1,2,.3731390196823810E-14,1,3,1.000000,0.6168531E-12
1320,.1723894376578351E-02,1,728,1,2,-.4050723891002644E-15,1,2,.3053113321177846E-16,1,9,0.6168531E-12,0.2393918E-16
1321,.1723894376578351E-02,1,728,2,1,.8991391922908192E-25,1,1,.7105427356651642E-13,1,5,0.6680523E-10,0.6680523E-10
